,dataid,protein_k,rna_k,top_ratio,training_score,tune_param,scores,cv
30,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8214285714285714, ""auc"": 0.8214748380667664, ""fpr"": [0.0, 0.18640350877192982, 1.0], ""tpr"": [0.0, 0.8295454545454546, 1.0], ""mcc"": 0.6430458037674903, ""tnr"": 0.8135964912280702, ""ppv"": 0.8111111111111111, ""f_score"": 0.8202247191011237, ""ap"": 0.7565588924963925, ""brier"": 0.17857142857142858, ""sensitivity"": 0.8295454545454546}",0
31,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8270089285714286, ""auc"": 0.8272283272283273, ""fpr"": [0.0, 0.18640350877192982, 1.0], ""tpr"": [0.0, 0.8409090909090909, 1.0], ""mcc"": 0.6544811178396911, ""tnr"": 0.8135964912280702, ""ppv"": 0.8131868131868132, ""f_score"": 0.8268156424581005, ""ap"": 0.7619411838161838, ""brier"": 0.17299107142857142, ""sensitivity"": 0.8409090909090909}",0
32,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8258928571428571, ""auc"": 0.8258317220483584, ""fpr"": [0.0, 0.17324561403508773, 1.0], ""tpr"": [0.0, 0.825, 1.0], ""mcc"": 0.6517089134445192, ""tnr"": 0.8267543859649122, ""ppv"": 0.8212669683257918, ""f_score"": 0.8231292517006802, ""ap"": 0.7634827488687782, ""brier"": 0.17410714285714285, ""sensitivity"": 0.825}",0
33,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8270089285714286, ""auc"": 0.8269492412349555, ""fpr"": [0.0, 0.17105263157894737, 1.0], ""tpr"": [0.0, 0.825, 1.0], ""mcc"": 0.653922924988655, ""tnr"": 0.8289473684210527, ""ppv"": 0.8231292517006803, ""f_score"": 0.8240635641316686, ""ap"": 0.7650191326530612, ""brier"": 0.17299107142857142, ""sensitivity"": 0.825}",0
34,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8270089285714286, ""auc"": 0.826963800792247, ""fpr"": [0.0, 0.17543859649122806, 1.0], ""tpr"": [0.0, 0.8295454545454546, 1.0], ""mcc"": 0.654017223677916, ""tnr"": 0.8245614035087719, ""ppv"": 0.8202247191011236, ""f_score"": 0.824858757062147, ""ap"": 0.7641190445790165, ""brier"": 0.17299107142857142, ""sensitivity"": 0.8295454545454546}",0
35,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.8], ""learning_rate"": [0.3], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.828125, ""auc"": 0.8280714342661246, ""fpr"": [0.0, 0.17324561403508773, 1.0], ""tpr"": [0.0, 0.8295454545454546, 1.0], ""mcc"": 0.6562213498277313, ""tnr"": 0.8267543859649122, ""ppv"": 0.8220720720720721, ""f_score"": 0.8257918552036199, ""ap"": 0.7656515078390078, ""brier"": 0.171875, ""sensitivity"": 0.8295454545454546}",0
36,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8125, ""auc"": 0.8126756632846293, ""fpr"": [0.0, 0.19956140350877194, 1.0], ""tpr"": [0.0, 0.825, 1.0], ""mcc"": 0.6253949600079975, ""tnr"": 0.8004385964912281, ""ppv"": 0.7995594713656388, ""f_score"": 0.8120805369127517, ""ap"": 0.7455740638766519, ""brier"": 0.1875, ""sensitivity"": 0.825}",0
37,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8169642857142857, ""auc"": 0.8170104633781764, ""fpr"": [0.0, 0.19078947368421054, 1.0], ""tpr"": [0.0, 0.825, 1.0], ""mcc"": 0.6341157194498265, ""tnr"": 0.8092105263157895, ""ppv"": 0.8066666666666666, ""f_score"": 0.8157303370786517, ""ap"": 0.7514375, ""brier"": 0.18303571428571427, ""sensitivity"": 0.825}",0
38,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8258928571428571, ""auc"": 0.8258559151362884, ""fpr"": [0.0, 0.16885964912280702, 1.0], ""tpr"": [0.0, 0.8204545454545454, 1.0], ""mcc"": 0.651653360679301, ""tnr"": 0.831140350877193, ""ppv"": 0.8242009132420092, ""f_score"": 0.8223234624145785, ""ap"": 0.7643890284943368, ""brier"": 0.17410714285714285, ""sensitivity"": 0.8204545454545454}",0
39,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [7], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8314732142857143, ""auc"": 0.831414617128903, ""fpr"": [0.0, 0.16666666666666666, 1.0], ""tpr"": [0.0, 0.8295454545454546, 1.0], ""mcc"": 0.6628540106052307, ""tnr"": 0.8333333333333334, ""ppv"": 0.8276643990929705, ""f_score"": 0.8286038592508513, ""ap"": 0.7702905972995259, ""brier"": 0.16852678571428573, ""sensitivity"": 0.8295454545454546}",0
40,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8247767857142857, ""auc"": 0.8247533440022334, ""fpr"": [0.0, 0.16885964912280702, 1.0], ""tpr"": [0.0, 0.8181818181818182, 1.0], ""mcc"": 0.6494144219782888, ""tnr"": 0.831140350877193, ""ppv"": 0.8237986270022883, ""f_score"": 0.8209806157354618, ""ap"": 0.7633027727421321, ""brier"": 0.17522321428571427, ""sensitivity"": 0.8181818181818182}",0
41,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""learning_rate"": [0.1], ""max_bin"": [256], ""max_depth"": [9], ""n_estimators"": [500], ""num_iterations"": [2000]}","{""acc"": 0.8236607142857143, ""auc"": 0.8236226595681043, ""fpr"": [0.0, 0.17105263157894737, 1.0], ""tpr"": [0.0, 0.8181818181818182, 1.0], ""mcc"": 0.647187250264659, ""tnr"": 0.8289473684210527, ""ppv"": 0.821917808219178, ""f_score"": 0.8200455580865604, ""ap"": 0.7617639210104964, ""brier"": 0.17633928571428573, ""sensitivity"": 0.8181818181818182}",0
42,3,3,3,0.975,1.0,"{""boosting_type"": [""gbdt""], ""colsample_bytree"": [0.9], ""learning_rate"": [0.2], ""max_bin"": [256], ""max_depth"": [5], ""n_estimators"": [500], ""num_iterations"": [1500]}","{""acc"": 0.8080357142857143, ""auc"": 0.8084962106102911, ""fpr"": [0.0, 0.21052631578947367, 1.0], ""tpr"": [0.0, 0.8272727272727273, 1.0], ""mcc"": 0.6168694040882221, ""tnr"": 0.7894736842105263, ""ppv"": 0.7913043478260869, ""f_score"": 0.808888888888889, ""ap"": 0.7394459345002824, ""brier"": 0.19196428571428573, ""sensitivity"": 0.8272727272727273}",0
