,DATAID,test_score,train_score,RNA_K,PROTEIN_K,TOP_RATIO
34,0,"{'acc': 0.9503001200480192, 'auc': 0.9508744739580977, 'fpr': array([0.        , 0.06765835, 1.        ]), 'tpr': array([0.        , 0.96828448, 1.        ]), 'mcc': 0.9011873637325041, 'tnr': 0.932341650671785, 'ppv': 0.9346011131725418, 'f_score': 0.951144677838093, 'ap': 0.9208060901176687, 'brier': 0.049699879951980795, 'sensitivity': 0.9682844786160499}",1.0,4,5,0.99
35,0,"{'acc': 0.9454981992797119, 'auc': 0.9462547335365291, 'fpr': array([0.        , 0.07626311, 1.        ]), 'tpr': array([0.        , 0.96758587, 1.        ]), 'mcc': 0.8919159189343214, 'tnr': 0.9237368922783603, 'ppv': 0.9259259259259259, 'f_score': 0.9462976105985331, 'ap': 0.9119992801722097, 'brier': 0.05450180072028812, 'sensitivity': 0.9675858732462506}",1.0,4,6,0.93
36,0,"{'acc': 0.9529411764705882, 'auc': 0.954185889095716, 'fpr': array([0.        , 0.07371948, 1.        ]), 'tpr': array([0.        , 0.97976879, 1.        ]), 'mcc': 0.9072097974587134, 'tnr': 0.9262805169937769, 'ppv': 0.9296160877513712, 'f_score': 0.9540337711069419, 'ap': 0.9208928594738929, 'brier': 0.047058823529411764, 'sensitivity': 0.9797687861271677}",1.0,4,6,0.9450000000000001
37,0,"{'acc': 0.9481392557022809, 'auc': 0.9490585551316748, 'fpr': array([0.        , 0.07608179, 1.        ]), 'tpr': array([0.       , 0.9728419, 1.       ]), 'mcc': 0.8974383552184185, 'tnr': 0.9239182120779839, 'ppv': 0.9261311172668514, 'f_score': 0.9489120151371808, 'ap': 0.9144245349103798, 'brier': 0.051860744297719086, 'sensitivity': 0.9728419010669254}",1.0,4,6,0.96
38,0,"{'acc': 0.9471788715486195, 'auc': 0.9485920555406241, 'fpr': array([0.        , 0.08105516, 1.        ]), 'tpr': array([0.        , 0.97548077, 1.        ]), 'mcc': 0.8958038004198392, 'tnr': 0.9189448441247002, 'ppv': 0.9231119199272065, 'f_score': 0.9485741000467507, 'ap': 0.9127228236958673, 'brier': 0.05282112845138055, 'sensitivity': 0.9754807692307692}",1.0,4,6,0.975
39,0,"{'acc': 0.9452581032412966, 'auc': 0.9472244657007276, 'fpr': array([0.        , 0.08731307, 1.        ]), 'tpr': array([0.        , 0.97753346, 1.        ]), 'mcc': 0.8923321549312176, 'tnr': 0.9126869271587071, 'ppv': 0.9186882300089847, 'f_score': 0.9471977767484947, 'ap': 0.909332998685242, 'brier': 0.05474189675870348, 'sensitivity': 0.9775334608030593}",1.0,4,6,0.99
40,0,"{'acc': 0.9476590636254502, 'auc': 0.9487632533317812, 'fpr': array([0.        , 0.08018868, 1.        ]), 'tpr': array([0.        , 0.97652812, 1.        ]), 'mcc': 0.896932776006851, 'tnr': 0.9198113207547169, 'ppv': 0.9215505306875865, 'f_score': 0.9482431149097816, 'ap': 0.9114446146278546, 'brier': 0.05234093637454982, 'sensitivity': 0.9765281173594133}",1.0,5,3,0.93
41,0,"{'acc': 0.9438175270108043, 'auc': 0.9451230208541617, 'fpr': array([0.        , 0.08199903, 1.        ]), 'tpr': array([0.        , 0.96910646, 1.        ]), 'mcc': 0.888675352386194, 'tnr': 0.9180009704027171, 'ppv': 0.9234601449275363, 'f_score': 0.9457328385899815, 'ap': 0.9105374380802909, 'brier': 0.05618247298919568, 'sensitivity': 0.969106463878327}",1.0,5,3,0.9450000000000001
42,0,"{'acc': 0.9478991596638655, 'auc': 0.9487350952406493, 'fpr': array([0.        , 0.07201946, 1.        ]), 'tpr': array([0.        , 0.96729858, 1.        ]), 'mcc': 0.8963739825027267, 'tnr': 0.9279805352798054, 'ppv': 0.9323892188213796, 'f_score': 0.9495231449174227, 'ap': 0.9184653923447057, 'brier': 0.052100840336134456, 'sensitivity': 0.9672985781990522}",1.0,5,3,0.96
43,0,"{'acc': 0.9486194477791117, 'auc': 0.9492823640230341, 'fpr': array([0.        , 0.06820412, 1.        ]), 'tpr': array([0.        , 0.96473907, 1.        ]), 'mcc': 0.8975492639489986, 'tnr': 0.9317958783120707, 'ppv': 0.9365586490187129, 'f_score': 0.9504400185270958, 'ap': 0.9215419221037189, 'brier': 0.05138055222088835, 'sensitivity': 0.9647390691114246}",1.0,5,3,0.975
