,dataid,cv,training_score,tune_param,acc,auc
75,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [500]}",0.8779193205944799,0.8783278327832784
76,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [100]}",0.8752653927813163,0.8758127144663175
77,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [200]}",0.8784501061571125,0.8790026187466138
78,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [300]}",0.8784501061571125,0.8790026187466138
79,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [500]}",0.8784501061571125,0.8790026187466138
80,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8779193205944799,0.8782765852552394
81,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [200]}",0.8726114649681529,0.8731852032470765
82,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [300]}",0.8726114649681529,0.8731852032470765
83,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8726114649681529,0.8731852032470765
84,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8795116772823779,0.8799491767169783
85,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [200]}",0.8779193205944799,0.8783825110958889
86,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [300]}",0.8779193205944799,0.8783825110958889
87,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8779193205944799,0.8783825110958889
88,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.8731422505307855,0.873627080540094
89,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [200]}",0.8704883227176221,0.87099814333038
90,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [300]}",0.8704883227176221,0.87099814333038
91,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [500]}",0.8704883227176221,0.87099814333038
92,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [100]}",0.8699575371549894,0.8706233062330624
93,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [200]}",0.8699575371549894,0.8706233062330624
94,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [300]}",0.8699575371549894,0.8706233062330624
95,1,0,1.0,"{'colsample_bytree': [0.8], 'lambda_l1': [0.1], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [500]}",0.8699575371549894,0.8706233062330624
96,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8805732484076433,0.8811292216001444
97,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [200]}",0.8800424628450106,0.8803092591652708
98,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [300]}",0.8800424628450106,0.8803092591652708
99,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8800424628450106,0.8803092591652708
100,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8795116772823779,0.8801294701523205
101,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [200]}",0.8773885350318471,0.8780024927633094
102,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [300]}",0.8773885350318471,0.8780024927633094
103,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8773885350318471,0.8780024927633094
104,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.8832271762208068,0.8838191417666562
105,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [200]}",0.8789808917197452,0.8794455497388106
106,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [300]}",0.8789808917197452,0.8794455497388106
107,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [500]}",0.8789808917197452,0.8794455497388106
108,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [100]}",0.8826963906581741,0.8832558244536753
109,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [200]}",0.8779193205944799,0.8788616021234785
110,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [300]}",0.8779193205944799,0.8788616021234785
111,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [500]}",0.8779193205944799,0.8788616021234785
112,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [100]}",0.8848195329087049,0.8852639560915723
113,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [200]}",0.8784501061571125,0.879065981457815
114,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [300]}",0.8784501061571125,0.879065981457815
115,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [18], 'num_iterations': [1000], 'num_leaves': [500]}",0.8784501061571125,0.879065981457815
116,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [100]}",0.8821656050955414,0.8828215061144902
117,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [200]}",0.8768577494692145,0.8772649572649572
118,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [300]}",0.8768577494692145,0.8772649572649572
119,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [20], 'num_iterations': [1000], 'num_leaves': [500]}",0.8768577494692145,0.8772649572649572
120,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [100]}",0.8805732484076433,0.8811292216001444
121,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [200]}",0.8795116772823779,0.8799491767169783
122,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [300]}",0.8795116772823779,0.8799491767169783
123,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [22], 'num_iterations': [1000], 'num_leaves': [500]}",0.8795116772823779,0.8799491767169783
124,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [100]}",0.8789808917197452,0.8793393072902506
125,1,0,1.0,"{'colsample_bytree': [0.9], 'lambda_l1': [0.001], 'learning_rate': [0.05], 'min_data_in_leaf': [30], 'num_iterations': [1000], 'num_leaves': [200]}",0.8779193205944799,0.8787074781524367
