iter	Passed	Remaining
962	49663	1908
963	49713	1856
964	49764	1804
965	49826	1753
966	49883	1702
967	49940	1650
968	49991	1599
969	50046	1547
970	50105	1496
971	50159	1444
972	50213	1393
973	50272	1341
974	50326	1290
975	50380	1238
976	50430	1187
977	50498	1135
978	50560	1084
979	50620	1033
980	50673	981
981	50723	929
982	50778	878
983	50834	826
984	50885	774
985	50938	723
986	50991	671
987	51044	619
988	51095	568
989	51154	516
990	51207	465
991	51254	413
992	51311	361
993	51367	310
994	51420	258
995	51473	206
996	51524	155
997	51585	103
998	51649	51
999	51716	0
